question,answer,category,language
What information is included in my student portal profile?,"Student portal profiles include contact information, emergency contacts, privacy settings, and communication preferences. Update guidelines at https://www.iset-sfax.tn/student-portal/profile-management.",Student Portal,en
How do I apply for graduation through the portal?,Graduation applications are submitted through the 'Graduation' section after completing at least 75% of degree requirements. Process and checklist at https://www.iset-sfax.tn/student-portal/graduation-application.,Student Portal,en
What is the process for setting up direct deposit for refunds?,Direct deposit setup for refunds is managed in the 'Financial' section. Banking information security protocols explained at https://www.iset-sfax.tn/student-portal/direct-deposit.,Student Portal,en
How do I view my degree audit in the portal?,Degree audits showing graduation requirement progress are available in the 'Academic Records' section. Interpretation guide at https://www.iset-sfax.tn/student-portal/degree-audit.,Student Portal,en
What career assessment tools are available in the portal?,Career assessment tools including interest inventories and skills assessments are accessed through the 'Career' section. Results interpretation guide at https://www.iset-sfax.tn/student-portal/career-assessments.,Student Portal,en
How do I opt out of directory information sharing?,Directory information sharing preferences are managed in the 'Privacy Settings' section. FERPA rights explanation and options at https://www.iset-sfax.tn/student-portal/privacy.,Student Portal,en
What materials are covered in the Introduction to Robotics course?,"The Introduction to Robotics course covers sensor integration, motion planning, actuator control, and basic AI concepts. Course materials and prerequisites at https://www.iset-sfax.tn/courses/robotics. For detailed syllabus, contact prof.zied@iset-sfax.tn.",Course Information,en
How can I join the competitive programming team?,The competitive programming team holds tryouts in September and February. Practice problems and team achievements at https://www.iset-sfax.tn/student-life/competitive-programming. Email coach at programming-team@iset-sfax.tn.,Student Life,en
What tutoring services are available for electrical engineering courses?,Free peer tutoring for electrical engineering is available Monday-Thursday 15:00-18:00 in Lab E-210. Schedule appointments at https://www.iset-sfax.tn/academic-policies/ee-tutoring or drop in during open hours.,Academic Policies,en
How do I apply for the ISET Sfax/Industry Co-Development Project?,Co-Development Project applications require faculty endorsement and project proposal. Guidelines and previous projects at https://www.iset-sfax.tn/career-services/co-development. Apply by October 15th.,Career Services,en
What equipment is available in the multimedia production studio?,"The multimedia studio includes 4K cameras, audio recording booth, green screen, and editing workstations. Reservation and training requirements at https://www.iset-sfax.tn/facilities/multimedia-studio.",Facilities,en
How do I access the specialized mathematics software packages?,"Mathematics software including MATLAB, Mathematica, and statistical tools are available in Labs B-201 and online. License activation process at https://www.iset-sfax.tn/facilities/math-software.",Facilities,en
What accommodation options are available for visiting scholars?,Visiting scholar accommodations include on-campus apartments and partnered hotels with discounted rates. Housing applications at https://www.iset-sfax.tn/international/scholar-housing.,International Students,en
How do I enroll in the English language proficiency program?,English language programs offer five proficiency levels with placement testing required. Registration and course offerings at https://www.iset-sfax.tn/international/english-program.,International Students,en
